,Date (GMT),Facebook Page,Post ID,Post Type,Post_Message,Tags,Campaign,Comments,Engaged Users,Engagement Rate,Reach,Reactions,Shares,Video Views
64,2019-05-21 21:35:03,Canadian Innovation,136461090093520_543681902704768,Photo,"Canadians know that in this digital age, our competitiveness will depend on our ability use digital innovation to harness the power of #data.   That is why, after consulting with Canadians, businesses and communities, Minister Bains has announced Canada’s new #DigitalCharter to help us address not only the challenges of this new reality but also leverage Canada’s unique talents and strengths in order to harness the power of digital and data transformation.  Read all about the Charter:  http://ow.ly/Czc850ulJ6m",,,3,44,0.054591,806,30,4,0
65,2019-02-18 20:34:17,Canadian Innovation,136461090093520_501031623636463,Photo,We are helping young entrepreneurs start their business. http://ow.ly/MMjl30nKfvA #InnovationNation,ISP2019,,1,68,0.060498,1124,30,9,0
66,2019-08-26 17:16:15,Canadian Science,126081027444465_2639068796145663,Photo,Q: What kind of dogs do scientists and chemists have? A: Laboratory Retrievers! 🐕 #NationalDogDay #MondayMotivation,,,6,212,0.05296,4003,30,13,0
67,2019-02-15 16:55:06,Canadian Science,126081027444465_2311632985555914,Photo,"In recognition of the International Day for Women and Girls in Science earlier this week, we’ve been highlighting some of Canada’s amazing women in the science field! They work in health, agriculture, engineering, physics, oceanography, veterinary science and more. See what inspires them by browsing our collection of podcasts, profiles, videos and more! http://ow.ly/qGxJ30nIgj9",ChooseScience2019,,1,284,0.023643,12012,30,23,0
68,2019-08-12 16:15:13,Entreprises Canada,106585486115074_2354161818024085,Photo,"#LundiMotivation: Vous avez besoin d’inspiration? Voyez ce qu’a réalisé Israa Hilles, gagnante d’un prix Futurpreneur Canada et nouvellement arrivée au Canada. Elle a créé un espace de travail partagé qui vise à renforcer les communautés. http://ow.ly/cwgx50vvwOJ",,,3,74,0.041974,1763,30,0,0
69,2019-06-12 13:36:00,Canadian Innovation,136461090093520_555397158199909,Link,"Today in Vandenberg, California, Canada’s RADARSAT Constellation Mission is launching into orbit!   The RADARSAT Constellation Mission is Canada’s new generation of Earth observation satellites. The three identical satellites will work together to bring solutions to key challenges for Canadians like timely disaster management, ecosystems monitoring and more. Canadian Space Agency http://ow.ly/GJEz50uCiVt",,,0,39,0.043575,895,29,4,0
70,2019-05-14 21:38:44,Canadian Innovation,136461090093520_539952349744390,Video,A new Government of Canada advisory council led by #YoshuaBengio and #FoteiniAgrafioti will build on Canada’s strengths in #AI and identify opportunities for creating economic growth that benefits all Canadians. Watch our video to learn who else is on the council. http://ow.ly/OUrv101AD5t,,,3,155,0.065595,2363,29,9,631
71,2019-03-08 14:32:54,Canadian Innovation,136461090093520_508700502869575,Photo,"To all the women changing the game, breaking boundaries and leading by example, happy #InternationalWomensDay! #IWD2019 #BalanceForBetter",,,0,54,0.058696,920,29,6,0
73,2019-08-15 15:26:44,Canadian Innovation,136461090093520_504600996767174,Video,What exactly is renewable energy?   It’s energy derived from natural processes (like the flow of a waterfall) that is replenished at a rate that is equal to or faster than it is consumed.  Technologies have been developed to leverage these natural processes.  #DYK that #Canada is the second largest producer of hydroelectricity in the world? That’s right! This renewable resource accounts for almost 60% of the electricity Canada produces.  Environment and Natural Resources in Canada,,,0,41,0.05125,800,29,1,196
74,2019-07-31 16:05:29,Canadian Innovation,136461090093520_485733881999428,Video,Telesat is developing new #satellite tech to improve #connectivity in rural regions. Check it out! #CdnInnovation #StrategicInnovationFund,,,1,55,0.062857,875,29,5,245
75,2019-01-11 16:41:22,Canadian Innovation,136461090093520_483531415386484,Video,Min. Bains in Mississauga announcing funding to increase #digitalskills in Mississauga and Brampton | Le ministre Bains de Mississauga annonçant des fonds visant à améliorer les #compétencesnumériques à Mississauga et à Brampton,,,3,205,0.10385,1974,29,11,773
76,2019-08-30 15:14:50,Canadian Innovation,136461090093520_476972293034502,Video,LIVE: National Research Council Canada IRAP announcement at Multi-Health Systems. #InvestInCanada  EN DIRECT: Annonce au titre du PARI du Conseil national de recherches Canada chez Multi-Health Systems. #InvestirauCanada,,,0,119,0.070665,1684,29,8,465
77,2019-08-06 15:00:54,Science canadienne,101966663200015_2509952189068105,Photo,"Les scientifiques peuvent, au moyen de la spectrométrie de masse, calculer l’âge des minéraux et des roches pour reconstituer l’évolution des chaînes de montagnes géantes de la Terre et d’autres événements du passé. Cette image montre les roches de l’Amérique du Nord selon leur âge géologique. Apprenez-en davantage au sujet de la spectrométrie de masse et de ses applications: http://ow.ly/24vB50vpord #ScienceCdn",,,3,489,0.088619,5518,29,21,0
78,2019-03-25 13:00:37,Canadian Innovation,136461090093520_983234755398576,Video,"🔴 LIVE: #InnovationLive 🎥 with Alex Benay, the Chief Information Officer of 🇨🇦, discussing the future of #AI, #bigdata and #IP in Canada. 🔴 EN DIRECT: #InnovationenDirect 🎥 avec le dirigeant principal de l’information du 🇨🇦, Alex Benay, pour discuter de l’avenir de l’#IA, des #donnéesvolumineuses et de la #propriétéintellectuelle au Canada.",,,21,294,0.064601,4551,28,22,1449
